campaign_id,party,state,spend,date
1,INC,UP,6388720.06,2025-12-09
2,INC,Tamil Nadu,8595779.9,2025-09-19
3,BJP,Maharashtra,7522730.81,2025-08-29
4,BJP,UP,3933796.66,2025-05-21
5,INC,Bihar,5618958.18,2025-04-09
6,INC,Tamil Nadu,4904235.26,2025-06-12
7,AAP,UP,8045453.68,2025-07-03
8,BJP,UP,5347048.3,2026-01-10
9,Regional Party,Tamil Nadu,4611611.44,2025-05-04
10,INC,UP,4295530.47,2025-06-09
11,INC,Bihar,4292304.48,2025-08-11
12,INC,UP,8467272.89,2025-11-28
13,BJP,UP,1851902.57,2026-03-16
14,BJP,Bihar,1089515.9,2025-08-09
15,BJP,Maharashtra,3826975.52,2025-08-15
16,INC,Bihar,7286350.46,2025-05-04
17,INC,UP,9685986.4,2025-05-14
18,AAP,UP,3826597.78,2026-03-07
19,AAP,Bihar,8666431.97,2026-02-11
20,Regional Party,Bihar,7761055.83,2025-12-05
21,Regional Party,Bihar,4031935.41,2025-09-04
22,INC,UP,-1000.0,2025-10-12
23,AAP,Maharashtra,1252858.0,2025-09-06
24,BJP,Bihar,2903401.69,2025-12-08
25,BJP,Tamil Nadu,4130886.45,2026-01-16
26,INC,Bihar,7597858.85,2026-02-05
27,BJP,Maharashtra,-1000.0,2025-07-31
28,AAP,Maharashtra,8986955.9,2025-12-24
29,AAP,Maharashtra,1681281.54,2025-05-25
30,BJP,Bihar,2173429.13,2025-07-02
31,BJP,Tamil Nadu,7712668.27,2025-04-15
32,INC,UP,1637111.71,2026-02-16
33,INC,Tamil Nadu,7737303.57,2025-07-01
34,Regional Party,Tamil Nadu,8128193.34,2025-11-21
35,Regional Party,UP,6781516.33,2025-05-12
36,BJP,UP,5040173.1,2025-04-02
37,Regional Party,Maharashtra,8659311.18,2025-11-21
38,Regional Party,Tamil Nadu,8725695.99,2026-02-03
39,INC,Tamil Nadu,9953019.57,2026-01-06
40,BJP,Bihar,5494129.58,2025-10-06
41,Regional Party,Bihar,8724666.0,2025-08-10
42,BJP,Maharashtra,7819070.68,2025-08-01
43,BJP,Maharashtra,2526740.53,2025-12-30
44,AAP,Tamil Nadu,8422540.55,2025-06-12
45,BJP,Tamil Nadu,859290.43,2026-02-04
46,BJP,Maharashtra,8303455.95,2025-11-14
47,AAP,Bihar,2387305.35,2026-01-30
48,BJP,Bihar,2554986.53,2025-06-10
49,INC,Tamil Nadu,2079612.29,2025-11-03
50,INC,Maharashtra,-1000.0,2025-04-29
51,AAP,Bihar,9547548.24,2025-06-15
52,INC,Maharashtra,4038695.61,2025-04-21
53,INC,Maharashtra,9033974.38,2026-02-25
54,AAP,Maharashtra,7715246.66,2026-01-10
55,Regional Party,Bihar,5977894.39,2025-12-25
56,Regional Party,UP,9108292.39,2026-01-21
57,AAP,Tamil Nadu,3964642.92,2025-05-02
58,AAP,Bihar,4093604.15,2026-03-22
59,INC,Bihar,-1000.0,2026-02-13
60,INC,Maharashtra,355081.49,2026-01-30
61,INC,Bihar,4270359.69,2025-07-05
62,AAP,Tamil Nadu,8476041.64,2025-06-13
63,Regional Party,Maharashtra,8608247.63,2025-10-19
64,AAP,Bihar,4483822.21,2025-05-23
65,BJP,Bihar,3147609.82,2025-07-16
