candidate_id,name,party,age,education
1,Neelima Bala,Regional Party,65,PhD
2,Siddharth Prabhakar,AAP,49,PhD
3,Sai Dora,BJP,53,Postgraduate
4,Bhavika Kale,AAP,30,Graduate
5,Upadhriti Guha,BJP,33,Graduate
6,Suhani Dash,AAP,54,PhD
7,Hemani Ram,Independent,59,Graduate
8,Saumya Kashyap,AAP,33,PhD
9,Frado Grover,Independent,45,Graduate
10,Madhavi Biswas,AAP,37,Graduate
11,Krish Srivastava,INC,56,12th Pass
12,Anamika Sagar,BJP,70,Postgraduate
13,Bhavna Agarwal,AAP,58,12th Pass
14,Anvi Pandya,AAP,33,PhD
15,Samesh Jhaveri,AAP,35,PhD
16,Zilmil Barad,Regional Party,70,12th Pass
17,Dhriti Mani,AAP,39,Postgraduate
18,Ishaan Murty,INC,35,Postgraduate
19,Kiaan Ravi,AAP,49,12th Pass
20,Dominic Lalla,INC,68,12th Pass
21,Bahadurjit Dalal,AAP,45,PhD
22,Samarth Saraf,Regional Party,48,Graduate
23,Mohammed Sundaram,AAP,58,Postgraduate
24,Tanveer Prasad,AAP,34,Postgraduate
25,Gauri Oak,Regional Party,61,Graduate
26,Ria Sandhu,BJP,59,Graduate
27,Nicholas Ganguly,BJP,31,12th Pass
28,Indali Karnik,BJP,63,Postgraduate
29,Devika Karpe,INC,28,Graduate
30,Dayita Mane,BJP,25,PhD
31,Megha Krishnamurthy,Independent,65,Graduate
32,Qabil Ravi,BJP,42,12th Pass
33,Aditya Amble,BJP,66,12th Pass
34,Ishani Kota,BJP,50,12th Pass
35,Vihaan Narang,Regional Party,46,Graduate
36,Faras Parsa,Regional Party,73,12th Pass
37,Vasudha Hans,Regional Party,52,Postgraduate
38,Girik Choudhry,INC,70,PhD
39,Pooja Chadha,Independent,66,Postgraduate
40,Kevin Loke,BJP,50,Graduate
41,Waida Sani,Regional Party,67,PhD
42,Mahika Nagar,Independent,36,Graduate
43,Aadi Kade,INC,64,12th Pass
44,Advik Hari,Independent,32,PhD
45,Abhimanyu Kunda,BJP,33,12th Pass
46,Anmol Sandal,AAP,45,PhD
47,Tarak Chokshi,BJP,40,PhD
48,Benjamin Chokshi,INC,30,12th Pass
49,Vyanjana Goyal,BJP,41,PhD
50,Madhavi Sarna,Independent,39,PhD
51,Megha Tata,INC,38,12th Pass
52,Ekbal Kale,Regional Party,64,PhD
53,Matthew Chopra,AAP,59,12th Pass
54,Bahadurjit Arora,Regional Party,33,12th Pass
55,Indira Sehgal,Independent,57,PhD
56,Nitara Guha,Regional Party,52,Postgraduate
57,Pushti Chaudhuri,Regional Party,45,Graduate
58,Yashasvi Rege,Regional Party,26,12th Pass
59,Kavya Tella,Regional Party,45,12th Pass
60,Mekhala Sundaram,INC,57,12th Pass
61,Saumya Peri,Independent,70,12th Pass
62,Victor Dada,BJP,56,Postgraduate
63,Yash Narain,Regional Party,37,Postgraduate
64,Vansha Issac,INC,38,Graduate
65,Laksh Wagle,INC,60,12th Pass
66,Sachi Parmer,AAP,43,PhD
67,Oscar Nath,Regional Party,25,Postgraduate
68,Gaurav Wable,Independent,40,Postgraduate
69,Harini Shanker,Regional Party,40,Graduate
70,Prisha Sahota,INC,57,PhD
71,Gagan Khurana,INC,70,12th Pass
72,Lohit Issac,Independent,59,Postgraduate
73,Upkaar Kaur,Independent,49,Graduate
74,Vamakshi Virk,AAP,46,PhD
75,Chakradev Chowdhury,AAP,47,12th Pass
76,Aachal Sha,Independent,52,Graduate
77,Chasmum Shroff,BJP,30,PhD
78,Aarini Mutti,AAP,42,PhD
79,Nimrat Sha,AAP,56,Graduate
80,Avni Seshadri,AAP,58,12th Pass
81,Gabriel Goda,Independent,33,Graduate
82,Jagat Mander,AAP,57,Graduate
83,Harini Bhatnagar,Regional Party,68,Graduate
84,Reva Ratti,Independent,46,Graduate
85,Warinder Sachar,AAP,54,12th Pass
86,Logan Balan,Regional Party,57,Graduate
87,Jai Murty,AAP,28,12th Pass
88,Maanas Johal,Independent,27,PhD
89,Ayushman Merchant,BJP,64,Graduate
90,Qabil Cherian,Regional Party,54,Postgraduate
91,Rajata Doshi,Independent,62,Postgraduate
92,Baghyawati Pathak,BJP,61,12th Pass
93,Reyansh Krishnan,AAP,30,Graduate
94,Jeevika Loyal,BJP,68,12th Pass
95,Nimrat Ramesh,AAP,33,12th Pass
96,Ayushman Nadig,Regional Party,27,Graduate
97,Kashish Balasubramanian,BJP,53,Graduate
98,Zarna Nagar,BJP,45,PhD
99,Victor Acharya,Independent,30,Postgraduate
100,Unnati Keer,Regional Party,69,Postgraduate
101,Rehaan Toor,INC,45,Postgraduate
102,Krish Bhakta,Regional Party,71,Graduate
103,Ijaya Loke,INC,64,Graduate
104,Theodore Bora,Regional Party,40,PhD
105,Mohammed Gara,BJP,47,Postgraduate
106,Jeevika Menon,Independent,35,Postgraduate
107,Harshil Kunda,INC,57,Postgraduate
108,Krishna Dutt,Regional Party,32,Postgraduate
109,Kevin Varty,BJP,47,PhD
110,Harsh Rana,INC,52,12th Pass
111,Pranav Kapur,AAP,59,Postgraduate
112,Quincy Raman,INC,66,Postgraduate
113,Dayita Kothari,Independent,25,Graduate
114,Harinakshi Keer,AAP,63,PhD
115,Tamanna Mani,Independent,67,Postgraduate
116,Aditya Sarkar,BJP,53,Graduate
117,Mahika Sani,INC,50,Graduate
118,Radhika Bansal,INC,55,Graduate
119,Veer Taneja,Regional Party,35,12th Pass
120,Chanchal Palan,BJP,59,Postgraduate
121,Liam Ray,AAP,38,Graduate
122,Ishanvi Karan,INC,64,PhD
123,Aadhya Pillai,INC,45,Postgraduate
124,Chavvi Shere,Regional Party,29,12th Pass
125,Mohini Kalla,AAP,58,12th Pass
126,Ansh Pau,INC,72,PhD
127,Eesha Barad,AAP,30,PhD
128,Balhaar Pillay,BJP,67,Postgraduate
129,Kamya Murty,AAP,60,PhD
130,Tanmayi Munshi,Independent,26,12th Pass
131,Yasti Panchal,Regional Party,57,12th Pass
132,Indrajit Vora,INC,27,12th Pass
133,Suhani Bhardwaj,AAP,33,Graduate
134,Qasim Shankar,BJP,40,12th Pass
135,Upasna Mahajan,Independent,32,PhD
136,Rachit Bala,AAP,35,PhD
137,Siya Dixit,Regional Party,28,Postgraduate
138,Jason Choudhary,BJP,70,Postgraduate
139,Alexander Bhatti,Regional Party,33,Graduate
140,Frado Thaker,Independent,36,12th Pass
141,Ishwar Halder,Independent,40,Postgraduate
142,Shivani Nagi,Regional Party,26,12th Pass
143,Ekta Rama,Independent,73,Graduate
144,Dalbir Savant,Regional Party,28,PhD
145,Anay Ratta,Independent,40,12th Pass
146,Abeer Grover,BJP,56,Graduate
