vote_id,constituency_id,candidate_id,votes_received
1,290,496,16735
2,192,2657,27016
3,164,597,15942
4,112,518,49458
5,521,1441,48424
6,76,1738,42691
7,443,1128,35057
8,377,2969,2951
9,180,243,17195
10,239,2765,24091
11,241,943,11659
12,232,1359,32461
13,276,2292,49964
14,354,1757,5823
15,387,1930,8917
16,471,2448,16720
17,127,984,206
18,443,381,28362
19,252,2889,33834
20,371,1007,42869
21,57,908,12816
22,294,2183,41865
23,112,587,28626
24,230,1259,34517
25,452,2688,17336
26,454,301,36862
27,192,616,17182
28,229,110,15023
29,441,2418,24017
30,204,916,1358
31,283,1356,5702
32,14,1448,34255
33,279,1346,45931
34,395,1094,18506
35,118,1548,33530
36,410,2171,47280
37,304,1233,19796
38,501,290,10006
39,341,507,21673
40,437,2239,49585
41,398,386,15389
42,485,196,26055
43,29,2676,1191
44,438,2527,30362
45,214,606,18604
46,346,1548,49984
47,386,2401,23798
48,479,2079,7338
49,190,1465,39223
50,19,158,47762
51,42,2035,9153
52,453,17,47623
53,174,2409,47070
54,517,726,9987
55,339,1169,46660
56,88,1154,43464
57,20,847,42403
58,179,1506,9562
59,132,332,6177
60,414,125,40783
61,34,2129,30295
62,135,225,8843
63,109,2584,38222
64,431,2289,49079
65,521,829,39680
66,147,2408,21729
67,127,2396,17264
68,509,2237,16950
69,208,549,6185
70,267,1371,44367
71,289,1576,19652
72,269,2842,14085
73,330,1799,11697
74,329,2370,38428
75,299,770,2937
76,97,1165,32324
77,126,2983,7169
78,159,2443,30036
79,487,12,14520
80,405,130,15859
81,374,1248,40982
82,423,1118,341
83,359,2214,30286
84,91,1432,38020
85,333,1902,4364
86,349,1062,32246
87,459,2589,22042
88,192,743,5222
89,111,892,30645
90,21,1757,32129
91,393,1268,10745
92,39,1665,43854
93,440,247,33401
94,326,2607,16370
95,357,771,11019
96,267,1016,20038
97,531,168,14480
98,331,1475,33972
99,22,2609,37211
100,206,2456,37823
101,323,1281,26056
102,219,1826,38789
103,481,350,20105
104,160,780,26478
105,20,2949,12640
106,340,1194,21460
107,36,1442,45453
108,169,797,9152
109,222,898,24992
110,297,2985,2322
111,467,2800,38819
112,372,2019,24906
113,39,1460,29657
114,424,702,10367
115,95,2463,29949
116,217,2388,6433
117,119,1328,43723
118,111,751,36059
119,509,1416,9789
